profile,rawAvg,offset,displayAvg,std,min,max,range,p5,p95,b85p,b7584,b6174,b60m
P001 (1942M 寅月),62.3,4.7,72.3,10.5,54,92,38,57,89,14%,32%,39%,15%
P002 (1945F 午月),61.1,5.9,72.1,10.6,55,98,43,58,91,14%,23%,44%,18%
P003 (1948M 酉月),61.9,5.1,71.9,10.1,56,94,38,58,90,14%,24%,46%,16%
P004 (1951F 子月),65.1,1.9,72.1,9.6,52,92,40,56,88,13%,27%,48%,13%
P005 (1954M 卯月),62,5,72,9.4,57,93,36,59,88,13%,28%,47%,12%
P006 (1957F 未月),63.4,3.6,72.4,9.7,56,96,40,59,90,12%,29%,48%,11%
P007 (1958M 辰月),67.2,-0.2,72.2,9.4,53,92,39,57,88,14%,23%,49%,13%
P008 (1959F 戌月),64.4,2.6,72.4,9.2,53,98,45,58,89,9%,31%,49%,11%
P009 (1960M 丑月),62,5,72,10.5,56,99,43,58,91,14%,27%,43%,16%
P010 (1961F 申月),67.4,-0.4,72.4,10.1,51,93,42,58,88,15%,26%,42%,17%
P011 (1962M 亥月),57,6,68,7.9,57,93,36,59,82,4%,18%,62%,16%
P012 (1963F 巳月),56.7,6,67.7,8.3,55,89,34,58,84,5%,18%,56%,21%
P013 (1964M 寅月),64.2,2.8,72.2,8.7,54,91,37,57,87,6%,36%,48%,11%
P014 (1965F 卯月),60.3,6,71.3,7.3,57,87,30,60,84,4%,28%,61%,7%
P015 (1966M 午月),64.7,2.3,71.7,7.6,55,90,35,59,84,4%,32%,53%,10%
P016 (1967F 酉月),62.5,4.5,72.5,9.6,56,95,39,59,91,13%,27%,48%,12%
P017 (1968M 戌月),63,4,72,9,56,99,43,59,88,9%,25%,56%,9%
P018 (1969F 子月),60.5,6,71.5,8.5,56,92,36,59,86,8%,27%,52%,12%
P019 (1970M 丑月),61.1,5.9,72.1,7.3,58,91,33,62,87,8%,25%,63%,3%
P020 (1971F 卯月),70.7,-3.7,71.7,7.9,55,88,33,59,83,4%,38%,51%,8%
P021 (1972M 巳月),59.7,6,70.7,8.5,58,96,38,60,87,7%,26%,57%,11%
P022 (1973F 未月),57.9,6,68.9,9.2,56,92,36,58,86,9%,19%,47%,25%
P023 (1974M 申月),57,6,68,7.1,57,91,34,59,82,2%,18%,69%,11%
P024 (1975F 亥月),59.1,6,70.1,7.5,57,94,37,60,86,6%,19%,69%,7%
P025 (1976M 寅月),61.7,5.3,71.7,9.7,55,96,41,57,88,12%,26%,46%,16%
P026 (1977F 辰月),57.4,6,68.4,6,56,84,28,59,79,0%,18%,72%,9%
P027 (1978M 酉月),62.9,4.1,71.9,11.3,55,94,39,56,90,19%,19%,41%,22%
P028 (1979F 子月),56,6,67,6.1,57,84,27,59,78,0%,14%,72%,14%
P029 (1980M 丑月),62,5,72,10,56,97,41,58,90,12%,28%,44%,15%
P030 (1981F 卯月),63,4,72,10.5,54,97,43,58,91,14%,24%,44%,17%
P031 (1982M 午月),60.8,6,71.8,10.5,56,98,42,59,92,15%,19%,51%,16%
P032 (1983F 未月),64.6,2.5,72.6,9.4,54,96,42,59,89,13%,29%,47%,11%
P033 (1984M 申月),65.1,1.9,72.1,12.3,52,99,47,54,91,22%,22%,35%,22%
P034 (1985F 戌月),67.3,-0.3,72.3,11.3,49,92,43,52,89,18%,27%,37%,18%
P035 (1986M 亥月),57.7,6,68.7,7.2,57,89,32,58,81,2%,21%,66%,12%
P036 (1987F 丑月),64.8,2.2,71.8,8.4,52,89,37,58,86,8%,33%,49%,11%
P037 (1988M 寅月),65,2,72,8.6,54,91,37,57,86,6%,37%,49%,9%
P038 (1989F 巳月),59.3,6,70.3,6.2,57,85,28,60,81,2%,24%,69%,6%
P039 (1990M 卯月),61.2,5.8,72.2,10.1,56,94,38,58,90,15%,24%,46%,15%
P040 (1991F 午月),61.6,5.4,71.6,9.6,54,100,46,58,88,11%,26%,51%,12%
P041 (1992M 辰月),61.9,5.1,71.9,8.2,56,96,40,60,87,8%,25%,59%,7%
P042 (1993F 酉月),59.6,6,70.6,7.8,58,94,36,61,84.1,5%,24%,67%,3%
P043 (1994M 子月),66.6,0.4,71.6,11.3,49,93,44,53,91,14%,27%,40%,18%
P044 (1995F 戌月),64.4,2.6,72.4,11.4,55,98,43,57,93,17%,23%,42%,17%
P045 (1996M 丑月),65.5,1.5,72.5,9.5,55,96,41,58,89,14%,23%,52%,11%
P046 (1997F 未月),57.8,6,68.8,7.3,56,90,34,59,81,3%,21%,64%,12%
P047 (1998M 申月),57.9,6,68.9,8.3,56,90,34,58,84,4%,22%,57%,17%
P048 (1999F 亥月),59.8,6,70.8,8.7,57,93,36,59,85.1,7%,30%,53%,10%
P049 (2000M 寅月),68,-1,72,8.3,54,90,36,58,85,7%,32%,51%,10%
P050 (2001F 巳月),62.6,4.4,71.6,10.3,54,97,43,56,91,13%,22%,46%,18%
P051 (2002M 卯月),65.2,1.8,72.2,10.6,52,96,44,55,90,14%,27%,43%,16%
P052 (2003F 午月),60.5,6,71.5,11.5,57,98,41,58,93,17%,23%,39%,21%
P053 (2004M 酉月),66,1,72,11.6,51,96,45,54,91,19%,22%,40%,19%
P054 (2005F 丑月),64.1,3,72.1,11.8,53,96,43,55,91,18%,22%,38%,23%
P055 (1972M 子時),67,0,72,9.3,51,95,44,58,88,11%,30%,49%,11%
P056 (1975F 午時),53.8,6,64.8,6.2,56,86,30,59,78,1%,9%,64%,26%
P057 (1978M 卯時),56.8,6,67.8,7,57,94,37,59,81,2%,17%,68%,12%
P058 (1981F 酉時),64.6,2.4,71.6,8.5,55,91,36,59,86,9%,27%,53%,12%
P059 (1984M 寅時),58.3,6,69.3,9.3,55,93,38,58,87,9%,18%,52%,21%
P060 (1987F 申時),61.1,5.9,72.1,7.7,58,91,33,61,86,8%,27%,62%,3%
P061 (1990M 辰時),56.2,6,67.2,5.9,57,88,31,58,78,1%,11%,75%,14%
P062 (1993F 戌時),57.7,6,68.7,6.1,58,86,28,61,80,1%,18%,77%,5%
P063 (1996M 丑時),57.6,6,68.6,6.8,57,85,28,58,80,1%,19%,63%,17%
P064 (1999F 未時),58.2,6,69.2,8,57,93,36,59,84,4%,20%,62%,13%
P065 (2002M 亥時),55.6,6,66.6,6.6,58,86,28,59,81,2%,12%,71%,16%
P066 (2005F 巳時),63.5,3.5,72.5,11.1,54,99,45,57,93,17%,24%,39%,19%
P067 (1966M 立春前),61.8,5.2,71.8,8.8,58,95,37,60,90,8%,28%,58%,6%
P068 (1970F 冬至),63.7,3.3,71.7,10.6,53,94,41,57,91,14%,25%,43%,18%
P069 (1975M 夏至),64.5,2.5,72.5,11,54,99,45,56,91,14%,31%,39%,16%
P070 (1980F 元旦),64.7,2.3,71.7,10.1,51,94,43,57,90,12%,28%,45%,16%
P071 (1985M 大晦日),70.2,-3.2,72.2,13.4,46,94,48,51,91,25%,20%,34%,21%
P072 (1990F 立秋),62.4,4.6,72.4,10.1,56,95,39,58,90,13%,26%,48%,12%
P073 (1955M 戌月3시),62.1,4.9,72.1,11.1,55,98,43,57,93,16%,20%,46%,18%
P074 (1963F 子月21시),61.7,5.3,71.7,7.2,57,89,32,61,85,6%,24%,66%,4%
P075 (1971M 辰月9시),59.8,6,70.8,7.2,57,94,37,61,84,5%,22%,69%,4%
P076 (1977F 未月15시),54.2,6,65.2,6.4,58,90,32,59,79,3%,6%,68%,23%
P077 (1983M 亥月7시),62.9,4.1,71.9,8.4,55,94,39,58,86,7%,31%,53%,9%
P078 (1989F 寅月23시),61.1,5.9,72.1,8.7,57,96,39,60,89,11%,26%,55%,8%
P079 (1995M 巳月11시),60.9,6,71.9,8.6,56,94,38,60,87,12%,23%,59%,6%
P080 (2001F 申月17시),64.1,2.9,72.1,10.4,53,96,43,56,91,15%,24%,44%,17%
P081 (1960M 午月0시),59.1,6,70.1,6.1,57,88,31,62,80,1%,24%,73%,2%
P082 (1968F 酉月1시),59,6,70,8.2,58,93,35,59,85,7%,20%,63%,10%
P083 (1976M 丑月23시),59.4,6,70.4,8.2,56,92,36,58,84,5%,28%,56%,12%
P084 (1984F 辰月13시),58.2,6,69.2,7.7,57,92,35,59,85,6%,21%,65%,8%
P085 (1992M 未月5시),56.8,6,67.8,7.9,57,92,35,58,82,2%,21%,57%,21%
P086 (2000F 戌月19시),60.1,6,71.1,6.9,58,91,33,61,83,3%,27%,67%,4%
P087 (1943M 卯月),60.6,6,71.6,9.1,57,96,39,59,86,9%,25%,52%,13%
P088 (1947F 子月),61.5,5.5,72.5,10.6,56,97,41,58,92,14%,31%,40%,15%
P089 (1952M 申月),51.9,6,62.9,3.6,55,78,23,59,70,0%,2%,79%,19%
P090 (1956F 巳月),58.6,6,69.6,9.5,56,93,37,58,86,9%,19%,51%,21%
P091 (2003M 寅月),60.8,6,71.8,9,56,95,39,59,85,7%,31%,49%,13%
P092 (2004F 午月),56.5,6,67.5,6,57,85,28,59,78,1%,13%,73%,14%
P093 (1969M 卯月4시),64.5,2.5,72.5,10.1,54,97,43,55,88,16%,25%,46%,13%
P094 (1974F 戌月2시),60.5,6,71.5,9.7,56,95,39,58,89,12%,24%,48%,16%
P095 (1979M 未月20시),62,5,72,9.1,54,95,41,58,88,11%,25%,53%,11%
P096 (1986F 辰月6시),69.6,-2.6,71.6,11,46,92,46,53,88,13%,29%,41%,17%
P097 (1993M 子月18시),64.7,2.3,71.7,11.3,52,98,46,56,93,17%,20%,47%,16%
P098 (1998F 亥月12시),57.2,6,68.2,6.4,58,87,29,60,80,2%,17%,75%,6%
P099 (1961M 午月8시),59.6,6,70.6,7.8,56,90,34,59,85,6%,24%,62%,8%
P100 (2002F 丑月16시),60.5,6,71.5,8.8,57,95,38,59,88,9%,27%,50%,13%
