profile,rawAvg,off65,off67,off70,avg65,avg67,avg70,std65,std67,std70,range65,range67,range70
P01 (1958M 寅月),64.4,0.6,2.6,5.6,65.4,67.4,70.4,7.4,7.4,7.4,35,35,35
P02 (1961F 卯月),62.5,2.5,4.5,6,65.5,67.5,68.5,9.1,9.1,9.1,41,41,41
P03 (1965M 午月),56,6,6,6,62,62,62,6.2,6.2,6.2,27,27,27
P04 (1968F 酉月),57.1,6,6,6,63.1,63.1,63.1,8.1,8.1,8.1,37,37,37
P05 (1972M 亥月),63.6,1.4,3.4,6,64.6,66.6,69.6,11.6,11.6,11.6,42,42,42
P06 (1975F 寅月),62,3,5,6,65,67,68,9.2,9.2,9.2,41,41,41
P07 (1978M 未月),59.4,5.6,6,6,65.4,65.4,65.4,7,7,7,32,32,32
P08 (1981F 辰月),66.3,-1.3,0.7,3.7,65.3,67.3,70.3,13.1,13.1,13.1,47,47,47
P09 (1984M 子月),60.6,4.4,6,6,64.6,66.6,66.6,9.4,9.4,9.4,38,38,38
P10 (1987F 巳月),67.1,-2.1,-0.1,2.9,65.1,67.1,70.1,9.3,9.3,9.3,42,42,42
P11 (1990M 申月),58.9,6,6,6,64.9,64.9,64.9,8.9,8.9,8.9,38,38,38
P12 (1993F 丑月),60.9,4.1,6,6,64.9,66.9,66.9,7.5,7.5,7.5,36,36,36
P13 (1996M 戌月),61,4,6,6,65,67,67,10,10,10,40,40,40
P14 (1999F 卯月),63.4,1.6,3.6,6,65.4,67.4,69.4,9.3,9.3,9.3,40,40,40
P15 (2002M 未月),61.9,3.1,5.1,6,64.9,66.9,67.9,10.5,10.5,10.5,42,42,42
P16 (2005F 亥月),62.4,2.6,4.6,6,65.4,67.4,68.4,6.9,6.9,6.9,29,29,29
P17 (1960M 辰月),60.5,4.5,6,6,65.5,66.5,66.5,7.4,7.4,7.4,35,35,35
P18 (1967F 申月),61,4,6,6,65,67,67,10.8,10.8,10.8,40,40,40
P19 (1974M 子月),56.7,6,6,6,62.7,62.7,62.7,7.8,7.8,7.8,36,36,36
P20 (1980F 寅月),60.6,4.4,6,6,64.6,66.6,66.6,9.1,9.1,9.1,34,34,34
P21 (1985M 酉月),60.7,4.3,6,6,64.7,66.7,66.7,10.1,10.1,10.1,36,36,36
P22 (1991F 午月),59.6,5.4,6,6,64.6,65.6,65.6,9.8,9.8,9.8,41,41,41
P23 (1997M 卯月),71.1,-6,-4.1,-1.1,65.1,67.1,70.1,9.4,9.4,9.4,38,38,38
P24 (2000F 丑月),61.9,3.1,5.1,6,64.9,66.9,67.9,8.3,8.3,8.3,36,36,36
P25 (1963M 戌月),60.4,4.6,6,6,65.4,66.4,66.4,10.5,10.5,10.5,42,42,42
P26 (1971F 巳月),60.5,4.5,6,6,65.5,66.5,66.5,7.3,7.3,7.3,32,32,32
P27 (1979M 未月),60.2,4.8,6,6,65.2,66.2,66.2,8.6,8.6,8.6,38,38,38
P28 (1988F 亥月),54,6,6,6,60,60,60,5.3,5.3,5.3,25,25,25
P29 (1995M 卯月),64.9,0.1,2.1,5.1,64.9,66.9,69.9,10.4,10.4,10.4,43,43,43
P30 (2003F 申月),57.1,6,6,6,63.1,63.1,63.1,8.1,8.1,8.1,32,32,32
